,username,tweet,link,date
0,AstarNetwork,"Weekly Astar community roundup ğŸŒŸ  ğŸŒŸ$1.6B TVL  ğŸŒŸ300,000+ Followers on Twitter ğŸŒŸDAPP Portal V2 is live!   https://t.co/TYAo8APMMO ğŸŒŸArthswap IDO is next week   https://t.co/cDxKNfZ3HG  https://t.co/iq66QzURNd",https://twitter.com/AstarNetwork/status/1512560243347238913,2022-04-08 16:37:18
1,bitbns,"$TLM is coming soon on Bitbns!  Till then learn about @AlienWorlds and take the quiz to earn. ğŸ“–  #Giveaway worth $10,000!  Follow:  https://t.co/T9mqOi8vCc  https://t.co/SAVo1pgWbh",https://twitter.com/bitbns/status/1512775215721320456,2022-04-09 06:51:32
2,curateproject,ğŸ’¥ THIS WEEK at Curate $XCUR ğŸ’¥  ğŸŸ£@CoinSmart equity investmentğŸ© ğŸŸ£P2E game w/@WorkinmanGamingğŸ•¹ ğŸŸ£New tokenomics announcedğŸª™ ğŸŸ£@chainsulting's successful auditğŸ‘©ğŸ½â€ğŸ’» ğŸŸ£900k $XCUR staked in 24hrsğŸ’ ğŸŸ£@BitKeepOS supports XCURğŸ” ğŸŸ£2 AMAs from our teamğŸ“£  Building into next week likeğŸ‘·ğŸ¾â€â™‚ï¸  https://t.co/8clcadEDqT,https://twitter.com/curateproject/status/1512866827252076544,2022-04-09 12:55:33
3,ErthaGame,"â€¼ï¸ Get ready, Erthians! We're preparing for the first bi-weekly update that's coming fast next week - this weeks patch includes some small fixes and QOL updates.   ğŸ As always - if you encounter any bugs, report then in the ERTHA Discord! ğŸ‘‰  https://t.co/JJZ1puZD3f",https://twitter.com/ErthaGame/status/1512898504963891202,2022-04-09 15:01:26
4,fearnfts,The FEAR Wolf NFT Website is Now Live!  Visit:  https://t.co/sx0bn9o1sG to discover the $FEAR Flagship Cross Game and Cross Chain NFT coming soon to the HorrorVerse!  https://t.co/drcY9sHJWi,https://twitter.com/fearnfts/status/1512433650360467459,2022-04-08 08:14:16
5,H3RO3SCOIN,ğŸŒŸWe at H3RO3S are really excited to announce our newest ğŸ¤Strategic partnership with @femathletesnft  ğŸ’ªFemale Athletes NFT is the future of sports in Web3. This future is very diverse and community driven.  #nft #Metaverse #P2E #H3RO3S  https://t.co/2lNFsR0I7l,https://twitter.com/H3RO3SCOIN/status/1512729280693747713,2022-04-09 03:49:00
6,H3RO3SCOIN,ğŸŒŸWe at H3RO3S are really excited to announce our newest ğŸ¤Strategic partnership with @humansdotai  ğŸ•¹  https://t.co/hNFczin119 is a next-generation blockchain platform that brings together an ecosystem of stakeholders around the use of AI to create at scale.  https://t.co/nqfuJMJj0A,https://twitter.com/H3RO3SCOIN/status/1512336039175606272,2022-04-08 01:46:24
7,join_hyve,Can you guess who's next? We continue to improve our platform by giving you all the necessary tools!ğŸ› ï¸ ğŸ†•A new token integration is on its way and it will be revealed very soon. What's your guess? Comment below and stay tuned for the reveal!ğŸ”  https://t.co/BYWcuUx0W1,https://twitter.com/join_hyve/status/1512517736043368452,2022-04-08 13:48:24
8,KonomiNetwork,"We strive for excellence for our community ğŸ’ª  Staking on mainnet and implementing/deploying Ocean Lending, $KONO had an ever-growing month in March! ğŸŒŸ  So much done &amp; much more to go. One thing is for sure - we are on the right track! ğŸ  https://t.co/hI16kCMWsc",https://twitter.com/KonomiNetwork/status/1512743375795019777,2022-04-09 04:45:00
9,LaunchPoolXYZ,ğŸ“¢ Are You Ready To Know The Next Project On Offer At Launchpoolâ“  ğŸ‘‰ @_SparkGM will be coming to  @LaunchPoolXYZ for a #pre_IDO AME next week Monday 11th Aprilâ•ğŸ¤©  $LPOOL $SPRK #newAME #Avalanche  #morethanalaunchpadğŸš€  https://t.co/L2aZisnco7,https://twitter.com/LaunchPoolXYZ/status/1512377578027470851,2022-04-08 04:31:27
10,LithiumFinance,ğŸ‰ Our private testnet has been deployed! We are working tirelessly to develop and test the latest product design. Canâ€™t wait to bring you to a world with access to illiquid asset pricing.  ğŸŸ Collective intelligence ğŸŸ Staking &amp; Rewards ğŸŸ Reputation tokens   https://t.co/DoxMduMf7a,https://twitter.com/LithiumFinance/status/1512369339252764677,2022-04-08 03:58:43
11,losslessdefi,6 days to go to make the next week epic ğŸ’¥  https://t.co/wEVZTkqfkK,https://twitter.com/losslessdefi/status/1512486838375694345,2022-04-08 11:45:37
12,Metahero_io,"ğŸ”¥ We are excited to announce that Metahero will be the official sponsor of FAME MMA 14, to be held on the 14th of May.   âœ…  Official @famemmatv partner âœ…  On-site mobile scanner âœ…  Official sponsor of FAME MMA 14  ğŸ‘‰  https://t.co/IYjbcxxTdI  #BeYourOwnHero  https://t.co/GITq219Khb",https://twitter.com/Metahero_io/status/1512703028457054213,2022-04-09 02:04:41
13,MNWSupplyChain,"Weâ€™re thrilled to announce that Polaris Network Argentina has expanded its partnership with @MNWSupplyChain to Spain. Thanks to Jorge Marcos Madrid, CEO of Polaris Network, for leading the way. Learn more about the initiative here:  https://t.co/0rftqGQDXp  https://t.co/scpciPcmPO",https://twitter.com/MNWSupplyChain/status/1512545731265060866,2022-04-08 15:39:38
14,MNWSupplyChain,Weâ€™re excited to announce that @MNWSupplyChain  has joined the Canadian Produce Marketing Association as a member! @CPMA_ACDFL is the voice of Canadaâ€™s fresh produce industry and we look forward to collaborating with them on supply chain transformation.     https://t.co/gbRq79kyds,https://twitter.com/MNWSupplyChain/status/1512513448718082059,2022-04-08 13:31:21
15,nftbmarket,Weâ€™re excited to announce that @HunterverseGame #IDO is now Live on NFTb &amp; open to our private pool!ğŸš€  ğŸš€1st hour exclusive for NFTb's Members ğŸ”“2nd hour open to public  ğŸ‘‡Buy $HUT here nowğŸ‘‡  https://t.co/wdje7czvzq  $NFTB,https://twitter.com/nftbmarket/status/1512399859533467654,2022-04-08 06:00:00
16,nftbmarket,Are you ready?  We're excited to announce that @HunterverseGame #IDO will be live on NFTb in 5 minsğŸš€  ğŸ‘‡Connect your wallets before itâ€™s too lateğŸ‘‡  https://t.co/wdje7cR6qY  $NFTB $HUT,https://twitter.com/nftbmarket/status/1512398601644756999,2022-04-08 05:55:00
17,NineChronicles,ğŸ“¢Important Notice on #NineChronicles Item Level Requirement #update will be in effect next week with the v100170 release!! The level requirements will be applied to all itemsâš”ï¸in the game. Few other changes will happen at the same time. For more details:  https://t.co/8qXD18Gjp7,https://twitter.com/NineChronicles/status/1512408908404789250,2022-04-08 06:35:57
18,numbersprotocol,"$NUM Holders ğŸ‘‹ Thank you for your participation! The holding period is ended on 7 April 2022, 12:59 UTC.  Check your qualification &amp; expected reward here:  https://t.co/UwO8uOXtDr  We will announce reward claim info on 11 April 2022. And stay tuned for the next holder offerğŸ˜‰  https://t.co/SnMxCpTV5L",https://twitter.com/numbersprotocol/status/1512358616837328902,2022-04-08 03:16:07
19,paribus_io,We are thrilled to announce that #Paribus will be entering the @Pavia_io Metaverse! We have purchased plots and will build a HQ on site ğŸ¢  The possibles of #metaverse opportunities are endless. We are excited for future developments ğŸ‘€  Learn more: ğŸ‘‰  https://t.co/3jcBkCbFTz  https://t.co/bHfVxLRArX,https://twitter.com/paribus_io/status/1512443022801346583,2022-04-08 08:51:31
20,Polytrade_fin,We are happy to announce our partnership with @transak_ ğŸ˜  Now Polytraders can buy USDC using their credit/debit cards ğŸ’³  The integration will allow users to get their deposits directly into the #polytrade wallet for a hassle free #Lending experience ğŸ’™  #Defi $TRADE #WAGMI  https://t.co/l2lPz2Xq9x,https://twitter.com/Polytrade_fin/status/1512720481455325184,2022-04-09 03:14:02
21,racefi_io,ğŸš€ GAME DEVELOPMENT UPDATE ğŸš€    âš™ï¸ NISMO car versions are coming soon and are you ready to drive them???  âš™ï¸ This is also one of the first NFTs to be sold on our marketplace and our partner marketplace  Thanks for supporting us and we will update about our project ASAPğŸ’•  https://t.co/emQM4lfRSc,https://twitter.com/racefi_io/status/1512372838547611657,2022-04-08 04:12:37
22,radixdlt,"ğŸ‰LIVE IN 60 MINUTESğŸ‰  The #Scrypto Developer event will go live at 10:00am GMT/UTC +1.  First, on stage we have Chief Product Officer of RDX Works, Matthew Hine presenting 'Why DeFi is the future'.    https://t.co/4pDbxq43Nm  $XRD ğŸš€",https://twitter.com/radixdlt/status/1512702875482394625,2022-04-09 02:04:04
23,souniio,"#BetaCampaign will be officially closed in the next 1 hours, at 12:00 UTC on April 9th  Thanks for all your support during the past time!  We are now ready for a new phase of development. Turn on your notice, stay tuned for the official release and BIG news to come! ğŸ‰ğŸ‰ğŸ‰  https://t.co/Kvnb1WRIld",https://twitter.com/souniio/status/1512748736304525312,2022-04-09 05:06:18
